,Date,User,Tweet
27,2022-05-06 11:05:30+00:00,rural_sg,"VICE PRESIDENT
Kiko Pangilinan - 117 (94.4%)
Vicente Tito Sotto - 3 (2.4%)
Doc Willie Ong - 2 (1.6%)
Walden Bello - 1 (0.8%)
Sara Duterte - 1 (0.8%)
*The rest of the candidates gained 0 votes.

#BumotoKa 
#Halalan2022
#2022UPRHSMockElections
#HandaSaHalalan"
28,2022-05-06 10:48:28+00:00,radyopilipinas1,"PANOORIN I Base sa initial crowd estimate mula sa Lacson-Sotto team, nasa 50,000 na ang tao ngayon sa miting de avance nina presidential candidate Ping Lacson at vice presidential bet Tito Sotto na ginaganap sa Carmona, Cavite. I via Nimfa Asuncion https://t.co/xCnhg98Slh"
29,2022-05-06 10:36:50+00:00,radyopilipinas1,"TINGNAN I Nagsisimula na ang programa ng miting de avance nina presidential candidate Ping Lacson at vice presidential candidate Tito Sotto. Nagsisilbing host ngayon ang Eat Bulaga hosts na sina Allan K, Pauleen Luna at ang anak ni Sotto na si Ciara Sotto. I via Nimfa Asuncion https://t.co/ArU78RaxAP"
30,2022-05-06 10:26:28+00:00,rapplerdotcom,"LOOK: Celebrities Ciara Sotto, Pauleen Luna and Alan K serve as hosts for the miting de avance of presidential candidate Ping Lacson and running mate Tito Sotto. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S https://t.co/fqdzV4qNH8"
31,2022-05-06 10:24:05+00:00,HanaBordey,"Dabarkads Pauleen Luna, Allan K. &amp; Ciara Sotto are the hosts for tonight’s miting de avance of presidential bet Ping Lacson &amp; VP bet Tito Sotto. @gmanews @gmanewsbreaking https://t.co/kIV93MJCyT"
32,2022-05-06 10:13:12+00:00,itsmaggiebtw,"i don’t care if he’s been joining your dad’s bible study sessions all throughout quarantine. tito sotto has never shown any remorse for what he’s done not only to pepsi paloma, but also to other women he’s openly harassed and disrespected."
33,2022-05-06 10:04:59+00:00,rapplerdotcom,"Leila's brother, Vicboy, take to the stage to campaign for the detained senator. 

The crowd shouts 'hustisya' as Vicboy continues his speech, calling on Senate President President Tito Sotto, a vice presidential candidate, to investigate on the retractions. #PHVote #WeDecide https://t.co/gvem2HeQal"
34,2022-05-06 10:04:35+00:00,HanaBordey,"LOOK: Supporters of Lacson-Sotto tandem start to gather here at Verdant Square for their miting de avance. Presidential candidate Ping Lacson &amp; VP bet Tito Sotto will be joined by Senate bets: Eleazar, Ejercito, Minguita Padilla, Piñol &amp; Honasan @gmanewsbreaking @gmanews https://t.co/OdBDjhEAT8"
35,2022-05-06 09:50:04+00:00,mindobdob,"tito sotto
ka leody de guzman
entienza lito
doc willie ong
ejercito
estrada
macapagal
duterte
solid north
crowdfunding
medicaid
photography
women
cryptocurrency
happy birthday
funny
contest
giveaway
tuesday motivation
monday
friday
travel
vegan
ootd
tbt
win
authentication
contest https://t.co/fdCqVs7EJ0"
36,2022-05-06 09:23:51+00:00,juperf1,"@TishaCM magka-mag-anak ba si sharon at tito sotto , pero alam nman nila na nauna na c tito nag declare, pero asawa ni sharon na vice rin, gahaman rin talaga asawa ni sharon, but in the end lahat sila inodoro."
