,Date,User,Tweet
49,2022-04-29 08:38:43+00:00,meltlopez,"JUST IN: 6 of 10 presidential bets agreed to the Comelec-KBP interviews:
- Ernesto Abella
- Leody de Guzman
- Norberto Gonzales
- Faisal Mangondato
- Jose Montemayor
- Sen. Manny Pacquiao 

@cnnphilippines"
50,2022-04-29 05:08:00+00:00,jessieme10,"New UniTeam definition of debate = negative campaign. 
Si Sir Faisal Mangondato nga o di kaya si Ka Leody sumisipot sa mga debate, yung nangunguna pa kaya sa mga surveys?

#MarcosDuwag
#MarcosDuwagParin"
51,2022-04-28 17:05:44+00:00,ChannelMarsy,#NorbertoGonzales2022 revisited CDO on the 26th. I missed a lot of places that  #FaisalMangondato and #CarlosSerapio visited which are mostly Muslim communities in the areas they've visited. https://t.co/IXkajspYUv
52,2022-04-28 10:36:01+00:00,PTVph,"PANOORIN: Presidential candidate Faisal Mangondato, ihahayag ang kanyang mga plano sa bayan kung mananalong pangulo. 

Abangan ang The Chatroom kasama si PTV News Reporter Daniel Manalastas ngayong Sabado, Abril 30, 7:00 p.m. sa PTV! 

#TheChatroom
#ParaSaBayan 
#PTVElectionTV https://t.co/g6nVNe8urh"
53,2022-04-28 04:36:10+00:00,Jasmin_Romero,"Presidential Candidate Faisal Mangondato said will focus on changing government to federalism to bring government closer to people. “Para sabay sabay ang masolusyonan ang mga problema ng mga bawat region.. nang umunlad na sila dahil sa sharing of power,” he said. https://t.co/jGZcXtzXrE"
54,2022-04-28 03:15:58+00:00,inquirerdotnet,"Former presidential spokesperson Ernesto Abella and businessman Faisal Mangondato have confirmed their participation in the Comelec's forum, poll body spokesperson James Jimenez said. | @DFernandezINQ https://t.co/k2mq1gJ8jQ"
55,2022-04-26 14:18:38+00:00,gmanews,"Naglibot kahapon ang tandem nina presidential candidate Faisal Mangondato at vice presidential candidate Carlos Serapio sa San Jose Del Monte, Bulacan. Nagpahayag si Mangondato rito ng pagtutol sa political dynasty.

Bisitahin ang https://t.co/0jbNLXHcen para sa iba pang update. https://t.co/BCYagCjjlu"
56,2022-04-26 05:18:38+00:00,iaann03,@rashbold @Jimparedes Ano naman kaya yung kay Faisal Mangondato tsaka kay Norberto
57,2022-04-26 04:39:12+00:00,lordeboi1,faisal mangondato my president
58,2022-04-25 10:53:04+00:00,youth4climatePH,"#6 Faisal Mangondato
Green Platforms and Environmental Track Record https://t.co/SkTxVEidOB"
